match_id,investor_pk,company,company_sector,company_stage,matched_on,outcome,investor_feedback
5000,1067,Company J31,FinTech,Pre-seed,2025-03-17,meeting_taken,Too early.
5001,1074,Company U93,FinTech,Series A,2024-12-05,meeting_taken,Too early.
5002,1083,Company T35,Enterprise SaaS,Series A,2024-11-08,intro_only,Too early.
5003,1028,Company M90,ClimateTech,Series A,2024-03-19,intro_only,Passed - portfolio conflict.
5004,1121,Company G64,Marketplace,Seed,2023-11-27,no_response,Too early.
5005,1184,Company V59,DeepTech,Series A,2023-10-22,no_response,"Converted, led the round."
5006,1056,Company V41,FinTech,Series A,2023-10-16,meeting_taken,Too early.
5007,1206,Company A38,FinTech,Seed,2026-08-11,no_response,"Converted, led the round."
5008,1053,Company T63,FinTech,Series A,2026-06-11,intro_only,"Took the meeting as a favour, not a fit."
5009,1001,Company J27,FinTech,Series A,2024-08-08,meeting_taken,Too early.
5010,1032,Company M17,Enterprise SaaS,Pre-seed,2023-10-20,meeting_taken,"Strong team, wrong stage for us."
5011,1083,Company W99,Enterprise SaaS,Series A,2026-10-21,intro_only,Passed - portfolio conflict.
5012,1099,Company F80,Enterprise SaaS,Pre-seed,2024-06-07,meeting_taken,"Strong team, wrong stage for us."
5013,1147,Company B78,Enterprise SaaS,Pre-seed,2025-12-10,meeting_taken,
5014,1184,Company E95,ClimateTech,Seed,2026-04-06,intro_only,
5015,1000,Company N12,Enterprise SaaS,Seed,2025-12-22,no_response,"Took the meeting as a favour, not a fit."
5016,1030,Company X98,Marketplace,Pre-seed,2023-02-27,meeting_taken,"Took the meeting as a favour, not a fit."
5017,1013,Company W87,Healthcare - Digital Health,Series A,2024-03-04,no_response,No response after two follow-ups.
5018,1071,Company P52,DeepTech,Seed,2025-07-14,meeting_taken,Too early.
5019,1188,Company Z20,FinTech,Series A,2024-06-02,converted,"Strong team, wrong stage for us."
5020,1130,Company F38,Healthcare - Digital Health,Series A,2023-02-07,meeting_taken,Too early.
5021,1056,Company U84,Healthcare - Digital Health,Seed,2026-04-04,intro_only,Passed - portfolio conflict.
5022,1111,Company G81,FinTech,Seed,2024-10-09,converted,Passed - portfolio conflict.
5023,1002,Company A67,Healthcare - Digital Health,Seed,2026-07-14,meeting_taken,Liked it. Asked for financials.
5024,1186,Company K60,DeepTech,Series A,2025-08-25,intro_only,Liked it. Asked for financials.
5025,1153,Company R78,Enterprise SaaS,Seed,2024-10-17,no_response,Passed - portfolio conflict.
5026,1096,Company K38,Marketplace,Series A,2024-12-06,intro_only,Passed - portfolio conflict.
5027,1179,Company R21,Marketplace,Pre-seed,2023-11-14,declined,"Converted, led the round."
5028,1167,Company V91,FinTech,Series A,2023-02-25,meeting_taken,Passed - portfolio conflict.
5029,1133,Company K68,Marketplace,Series A,2026-10-25,meeting_taken,Too early.
5030,1162,Company Z12,Enterprise SaaS,Pre-seed,2024-08-07,no_response,No response after two follow-ups.
5031,1076,Company G54,ClimateTech,Pre-seed,2023-12-20,declined,Passed - portfolio conflict.
5032,1180,Company S67,Marketplace,Seed,2025-06-13,declined,Liked it. Asked for financials.
5033,1102,Company V77,Marketplace,Pre-seed,2025-09-07,no_response,"Took the meeting as a favour, not a fit."
5034,1222,Company J96,Healthcare - Digital Health,Pre-seed,2023-06-11,declined,"Took the meeting as a favour, not a fit."
5035,1183,Company P15,Healthcare - Digital Health,Pre-seed,2026-11-16,meeting_taken,"Took the meeting as a favour, not a fit."
5036,1079,Company Z80,ClimateTech,Pre-seed,2025-06-20,no_response,
5037,1079,Company M81,DeepTech,Pre-seed,2026-10-15,intro_only,"Converted, led the round."
5038,1029,Company M11,ClimateTech,Seed,2023-11-12,declined,No response after two follow-ups.
5039,1133,Company J11,ClimateTech,Series A,2023-01-03,no_response,Passed - portfolio conflict.
5040,1056,Company P47,DeepTech,Series A,2023-12-23,intro_only,No response after two follow-ups.
5041,1162,Company L56,FinTech,Seed,2023-01-12,meeting_taken,"Took the meeting as a favour, not a fit."
5042,9010,Company B54,Healthcare - Digital Health,Series A,2024-12-22,converted,Liked it. Asked for financials.
5043,1061,Company T52,DeepTech,Series A,2025-02-10,no_response,Liked it. Asked for financials.
5044,1092,Company A87,Marketplace,Pre-seed,2023-03-10,no_response,Too early.
5045,1061,Company Z27,ClimateTech,Series A,2024-11-27,meeting_taken,No response after two follow-ups.
5046,1065,Company R55,Marketplace,Seed,2025-02-03,meeting_taken,Liked it. Asked for financials.
5047,1081,Company G53,ClimateTech,Pre-seed,2026-10-27,converted,Too early.
5048,1215,Company M88,Healthcare - Digital Health,Pre-seed,2025-04-25,intro_only,"Strong team, wrong stage for us."
5049,1127,Company H86,Marketplace,Pre-seed,2025-10-19,declined,No response after two follow-ups.
5050,1184,Company R63,Marketplace,Pre-seed,2025-05-03,meeting_taken,Liked it. Asked for financials.
5051,1139,Company P16,ClimateTech,Series A,2023-01-20,declined,Passed - portfolio conflict.
5052,1040,Company R72,ClimateTech,Pre-seed,2023-06-15,declined,Liked it. Asked for financials.
5053,1003,Company C82,ClimateTech,Pre-seed,2026-08-10,intro_only,
5054,1117,Company B41,Enterprise SaaS,Pre-seed,2023-04-27,meeting_taken,Liked it. Asked for financials.
5055,1049,Company Q98,Marketplace,Seed,2025-06-25,no_response,Passed - portfolio conflict.
5056,1069,Company J80,FinTech,Seed,2026-02-03,converted,Liked it. Asked for financials.
5057,1084,Company Z55,Marketplace,Pre-seed,2024-06-23,meeting_taken,Passed - portfolio conflict.
5058,1085,Company F44,Marketplace,Pre-seed,2026-02-02,meeting_taken,Too early.
5059,1082,Company V73,Marketplace,Seed,2023-09-26,meeting_taken,No response after two follow-ups.
5060,1181,Company S72,FinTech,Series A,2025-02-14,converted,No response after two follow-ups.
5061,1224,Company D18,Enterprise SaaS,Seed,2023-09-07,meeting_taken,
5062,1215,Company D87,Marketplace,Seed,2026-05-08,meeting_taken,Too early.
5063,1049,Company G27,DeepTech,Seed,2026-11-02,converted,"Converted, led the round."
5064,9007,Company X78,ClimateTech,Pre-seed,2025-07-19,meeting_taken,"Converted, led the round."
5065,1092,Company A47,ClimateTech,Series A,2025-10-18,meeting_taken,Liked it. Asked for financials.
5066,9006,Company J10,Healthcare - Digital Health,Pre-seed,2025-08-08,converted,Passed - portfolio conflict.
5067,1214,Company V56,FinTech,Series A,2026-09-03,converted,"Converted, led the round."
5068,1171,Company Y70,DeepTech,Seed,2024-06-03,converted,"Converted, led the round."
5069,1017,Company J43,Enterprise SaaS,Series A,2026-04-02,declined,"Converted, led the round."
5070,1141,Company Y23,FinTech,Series A,2025-11-05,meeting_taken,"Converted, led the round."
5071,1000,Company G68,Marketplace,Seed,2026-08-15,meeting_taken,"Converted, led the round."
5072,1017,Company H79,Healthcare - Digital Health,Series A,2026-06-04,converted,Too early.
5073,1200,Company W30,Healthcare - Digital Health,Series A,2024-02-19,meeting_taken,No response after two follow-ups.
5074,1030,Company F72,Enterprise SaaS,Pre-seed,2024-10-14,meeting_taken,Liked it. Asked for financials.
5075,1145,Company T31,Healthcare - Digital Health,Seed,2025-02-10,meeting_taken,"Took the meeting as a favour, not a fit."
5076,1010,Company A41,DeepTech,Pre-seed,2023-03-03,meeting_taken,Liked it. Asked for financials.
5077,1021,Company Q50,FinTech,Pre-seed,2024-04-07,meeting_taken,Liked it. Asked for financials.
5078,1114,Company A96,ClimateTech,Series A,2026-03-15,no_response,Passed - portfolio conflict.
5079,1190,Company T33,Marketplace,Series A,2024-01-25,declined,"Converted, led the round."
5080,1054,Company F87,ClimateTech,Seed,2023-05-16,meeting_taken,"Converted, led the round."
5081,1018,Company W98,Marketplace,Seed,2026-06-02,declined,"Took the meeting as a favour, not a fit."
5082,1040,Company G96,ClimateTech,Pre-seed,2023-05-11,no_response,
5083,1010,Company W75,ClimateTech,Series A,2025-05-26,no_response,Liked it. Asked for financials.
5084,1169,Company D95,Healthcare - Digital Health,Pre-seed,2026-03-19,declined,Passed - portfolio conflict.
5085,9004,Company F99,Healthcare - Digital Health,Series A,2026-12-04,no_response,"Converted, led the round."
5086,1014,Company J80,Marketplace,Seed,2024-07-22,meeting_taken,Liked it. Asked for financials.
5087,1131,Company P13,DeepTech,Pre-seed,2026-03-17,no_response,"Took the meeting as a favour, not a fit."
5088,1006,Company M33,DeepTech,Series A,2024-06-07,meeting_taken,Liked it. Asked for financials.
5089,1044,Company T84,DeepTech,Pre-seed,2023-01-20,meeting_taken,Passed - portfolio conflict.
5090,1141,Company G21,Healthcare - Digital Health,Series A,2025-09-05,meeting_taken,"Converted, led the round."
5091,1185,Company Q75,DeepTech,Series A,2026-02-28,meeting_taken,"Took the meeting as a favour, not a fit."
5092,1180,Company Q31,DeepTech,Seed,2026-05-09,converted,"Took the meeting as a favour, not a fit."
5093,1005,Company Z61,ClimateTech,Pre-seed,2024-11-25,declined,"Converted, led the round."
5094,1115,Company R28,Marketplace,Pre-seed,2024-06-04,meeting_taken,
5095,1034,Company E18,Healthcare - Digital Health,Series A,2023-10-26,declined,Passed - portfolio conflict.
5096,1197,Company J28,Enterprise SaaS,Seed,2023-10-07,converted,Passed - portfolio conflict.
5097,1118,Company A70,ClimateTech,Series A,2025-12-18,converted,"Converted, led the round."
5098,1172,Company C82,FinTech,Seed,2025-06-10,declined,"Converted, led the round."
5099,1004,Company Y31,DeepTech,Seed,2026-07-23,meeting_taken,
5100,1007,Company C91,Marketplace,Series A,2023-06-11,declined,
5101,1203,Company R11,Enterprise SaaS,Pre-seed,2025-07-26,converted,"Strong team, wrong stage for us."
5102,1074,Company X18,ClimateTech,Pre-seed,2026-07-16,intro_only,No response after two follow-ups.
5103,1172,Company Z26,DeepTech,Seed,2026-06-19,declined,
5104,1134,Company L37,DeepTech,Seed,2024-03-02,converted,"Took the meeting as a favour, not a fit."
5105,1069,Company V53,Healthcare - Digital Health,Pre-seed,2025-11-11,intro_only,No response after two follow-ups.
5106,1215,Company N36,Enterprise SaaS,Series A,2026-02-11,meeting_taken,Passed - portfolio conflict.
5107,1197,Company D98,Enterprise SaaS,Series A,2025-03-14,meeting_taken,"Converted, led the round."
5108,1054,Company R82,Enterprise SaaS,Series A,2024-05-14,intro_only,"Converted, led the round."
5109,1044,Company K90,Enterprise SaaS,Pre-seed,2023-04-09,declined,"Converted, led the round."
5110,1088,Company Z33,Marketplace,Seed,2026-11-28,declined,Liked it. Asked for financials.
5111,1150,Company S74,Enterprise SaaS,Seed,2024-09-25,intro_only,Liked it. Asked for financials.
5112,1210,Company A29,DeepTech,Seed,2024-07-10,meeting_taken,"Took the meeting as a favour, not a fit."
5113,1027,Company D82,Enterprise SaaS,Series A,2026-07-12,intro_only,Liked it. Asked for financials.
5114,1179,Company X17,Enterprise SaaS,Pre-seed,2024-05-21,meeting_taken,Passed - portfolio conflict.
5115,1083,Company K41,ClimateTech,Seed,2024-01-13,meeting_taken,
5116,1138,Company W22,FinTech,Seed,2024-12-15,declined,"Converted, led the round."
5117,1036,Company J77,DeepTech,Pre-seed,2023-11-25,declined,"Took the meeting as a favour, not a fit."
