match_id,investor_id,company,company_sector,company_stage,matched_on,outcome,investor_feedback
5000,f292eb53-e285-4d39-b35a-67e7f8cf7996,Company J31,FinTech,Pre-seed,2025-03-17,meeting_taken,Too early.
5001,f30c3c22-c040-454b-a11e-62eda27f1d30,Company U93,FinTech,Series A,2024-12-05,meeting_taken,Too early.
5002,3b446fa3-c234-4f7e-8ba3-47d57a6322d7,Company T35,Enterprise SaaS,Series A,2024-11-08,intro_only,Too early.
5003,33769865-b399-4cf5-a4d1-f894881cf54a,Company M90,ClimateTech,Series A,2024-03-19,intro_only,Passed - portfolio conflict.
5004,ef8ab470-6ee8-4d86-86c9-50a069fa80dd,Company G64,Marketplace,Seed,2023-11-27,no_response,Too early.
5005,13f1975c-46fc-44e7-aa27-b0be5d01d939,Company V59,DeepTech,Series A,2023-10-22,no_response,"Converted, led the round."
5006,362b0581-95b1-4feb-b25e-c339494f8268,Company V41,FinTech,Series A,2023-10-16,meeting_taken,Too early.
5007,de8ba44c-9406-407f-b462-f44eda4f79d2,Company A38,FinTech,Seed,2026-08-11,no_response,"Converted, led the round."
5008,4df95018-0bb0-4878-a82a-926d44fcf768,Company T63,FinTech,Series A,2026-06-11,intro_only,"Took the meeting as a favour, not a fit."
5009,bc4dba0d-d98c-45a0-aff7-776d54915752,Company J27,FinTech,Series A,2024-08-08,meeting_taken,Too early.
5010,f92a3150-1b6f-4825-904e-fdd9b6bac74c,Company M17,Enterprise SaaS,Pre-seed,2023-10-20,meeting_taken,"Strong team, wrong stage for us."
5011,3b446fa3-c234-4f7e-8ba3-47d57a6322d7,Company W99,Enterprise SaaS,Series A,2026-10-21,intro_only,Passed - portfolio conflict.
5012,9a63521d-f66f-4760-a2d4-a02baf11ee19,Company F80,Enterprise SaaS,Pre-seed,2024-06-07,meeting_taken,"Strong team, wrong stage for us."
5013,0d240e54-f4ec-42a2-b88e-3a3fd41e1a88,Company B78,Enterprise SaaS,Pre-seed,2025-12-10,meeting_taken,
5014,13f1975c-46fc-44e7-aa27-b0be5d01d939,Company E95,ClimateTech,Seed,2026-04-06,intro_only,
5015,6983f910-2265-42b4-b9ff-cc4e460e266d,Company N12,Enterprise SaaS,Seed,2025-12-22,no_response,"Took the meeting as a favour, not a fit."
5016,30b3fb82-cb63-4f7f-9047-e18626279816,Company X98,Marketplace,Pre-seed,2023-02-27,meeting_taken,"Took the meeting as a favour, not a fit."
5017,f070f53f-769e-4f6f-9348-98c91a05e6b8,Company W87,Healthcare - Digital Health,Series A,2024-03-04,no_response,No response after two follow-ups.
5018,3bf351ee-0cb1-4e5c-83cf-64e63153540a,Company P52,DeepTech,Seed,2025-07-14,meeting_taken,Too early.
5019,30b3fb82-cb63-4f7f-9047-e18626279816,Company Z20,FinTech,Series A,2024-06-02,converted,"Strong team, wrong stage for us."
5020,f074480e-309a-44b5-9642-2b06153ff098,Company F38,Healthcare - Digital Health,Series A,2023-02-07,meeting_taken,Too early.
5021,362b0581-95b1-4feb-b25e-c339494f8268,Company U84,Healthcare - Digital Health,Seed,2026-04-04,intro_only,Passed - portfolio conflict.
5022,9dcb0ae1-8c0d-4c0b-8b18-785bedc73a37,Company G81,FinTech,Seed,2024-10-09,converted,Passed - portfolio conflict.
5023,6c3dd0ac-b2c3-4962-8918-b062c5ed15e1,Company A67,Healthcare - Digital Health,Seed,2026-07-14,meeting_taken,Liked it. Asked for financials.
5024,8cb623fe-8bac-4e09-b68c-96b2c3589de6,Company K60,DeepTech,Series A,2025-08-25,intro_only,Liked it. Asked for financials.
5025,8463dd8a-c057-4419-9fac-f48ba646b522,Company R78,Enterprise SaaS,Seed,2024-10-17,no_response,Passed - portfolio conflict.
5026,1d936bff-0004-4595-a110-416606989799,Company K38,Marketplace,Series A,2024-12-06,intro_only,Passed - portfolio conflict.
5027,bfc9c7a1-5902-465e-be09-2a6f1a6952f1,Company R21,Marketplace,Pre-seed,2023-11-14,declined,"Converted, led the round."
5028,aef2f58f-856a-4f64-a9d4-de610464f0ae,Company V91,FinTech,Series A,2023-02-25,meeting_taken,Passed - portfolio conflict.
5029,6d1a5aa3-41a8-4b98-9d02-6b72653ee62a,Company K68,Marketplace,Series A,2026-10-25,meeting_taken,Too early.
5030,889b467e-ffb4-4555-b56e-4ea4dac53360,Company Z12,Enterprise SaaS,Pre-seed,2024-08-07,no_response,No response after two follow-ups.
5031,32b998b4-8e04-4ed7-a5ec-887b45cfc264,Company G54,ClimateTech,Pre-seed,2023-12-20,declined,Passed - portfolio conflict.
5032,c02f66de-e9ea-42a7-8b2b-330d61c39f62,Company S67,Marketplace,Seed,2025-06-13,declined,Liked it. Asked for financials.
5033,7c390518-1880-40dc-93f2-be0c31ec6f21,Company V77,Marketplace,Pre-seed,2025-09-07,no_response,"Took the meeting as a favour, not a fit."
5034,a2e50951-1cc3-4c81-9ecb-476d8deb57b0,Company J96,Healthcare - Digital Health,Pre-seed,2023-06-11,declined,"Took the meeting as a favour, not a fit."
5035,7b35cffa-2808-4a6a-991b-56449f896ccd,Company P15,Healthcare - Digital Health,Pre-seed,2026-11-16,meeting_taken,"Took the meeting as a favour, not a fit."
5036,38c84fa8-b2c4-4c56-8579-b1ad37a45ebf,Company Z80,ClimateTech,Pre-seed,2025-06-20,no_response,
